idx,name,population
34,"서울특별시 강동구 성내제3동(1174066000)",4.068382365840394
35,"서울특별시 강동구 암사제1동(1174057000)",6.22511095907233
36,"서울특별시 강동구 암사제2동(1174058000)",2.6726663508938127
37,"서울특별시 강동구 암사제3동(1174059000)",3.173166324579408
38,"서울특별시 강동구 천호제1동(1174060000)",4.798694805536551
39,"서울특별시 강동구 천호제2동(1174061000)",6.08459203901549
40,"서울특별시 강동구 천호제3동(1174062000)",4.648351841131168
41,"서울특별시 강북구 미아동(1130553500)",3.8622528638843567
42,"서울특별시 강북구 번1동(1130559500)",3.316492114450117
43,"서울특별시 강북구 번2동(1130560300)",2.8654632212339703
44,"서울특별시 강북구 번3동(1130560800)",3.0587863796642285
45,"서울특별시 강북구 삼각산동(1130557500)",5.604266442117082
46,"서울특별시 강북구 삼양동(1130553400)",4.296440538217286
47,"서울특별시 강북구 송중동(1130554500)",5.305510236303352
48,"서울특별시 강북구 송천동(1130555500)",4.817641176780169
49,"서울특별시 강북구 수유1동(1130561500)",3.697349262319527
50,"서울특별시 강북구 수유2동(1130562500)",3.726996824728523
51,"서울특별시 강북구 수유3동(1130563500)",4.093117906075118
52,"서울특별시 강북구 우이동(1130564500)",3.645948458853043
53,"서울특별시 강북구 인수동(1130566000)",5.501464835184113
54,"서울특별시 강서구 가양제1동(1150060300)",5.945827412592319
55,"서울특별시 강서구 가양제2동(1150060400)",2.5321474308369734
56,"서울특별시 강서구 가양제3동(1150060500)",2.7038927775731105
57,"서울특별시 강서구 공항동(1150062000)",4.6943143343332805
58,"서울특별시 강서구 등촌제1동(1150052000)",4.138554111187131
59,"서울특별시 강서구 등촌제2동(1150053000)",3.7048927249443016
60,"서울특별시 강서구 등촌제3동(1150053500)",5.523042646878235
61,"서울특별시 강서구 발산제1동(1150061100)",6.574390821535708
62,"서울특별시 강서구 방화제1동(1150063000)",7.783800852586706
63,"서울특별시 강서구 방화제2동(1150064000)",4.021191867094714
64,"서울특별시 강서구 방화제3동(1150064100)",4.106099678964265
65,"서울특별시 강서구 염창동(1150051000)",7.314527305580408
66,"서울특별시 강서구 우장산동(1150061500)",7.667491184674491
67,"서울특별시 강서구 화곡본동(1150059000)",6.067224532042173
68,"서울특별시 강서구 화곡제1동(1150054000)",9.195305510236304
69,"서울특별시 강서구 화곡제2동(1150055000)",3.2182516709646865
70,"서울특별시 강서구 화곡제3동(1150056000)",3.814711506411943
71,"서울특별시 강서구 화곡제4동(1150057000)",3.6854200656105816
72,"서울특별시 강서구 화곡제6동(1150059100)",4.360296826482816
73,"서울특별시 강서구 화곡제8동(1150059300)",4.4106450537691
74,"서울특별시 관악구 낙성대동(1162058500)",2.9770362963352803
75,"서울특별시 관악구 난곡동(1162077500)",4.802027963440521
76,"서울특별시 관악구 난향동(1162071500)",2.75441643422276
77,"서울특별시 관악구 남현동(1162063000)",3.1921126958230266
78,"서울특별시 관악구 대학동(1162073500)",4.126975773204919
79,"서울특별시 관악구 미성동(1162076500)",5.469712120414715
80,"서울특별시 관악구 보라매동(1162052500)",4.281529042331106
81,"서울특별시 관악구 삼성동(1162074500)",4.242934582390401
82,"서울특별시 관악구 서림동(1162066500)",4.153465607073311
83,"서울특별시 관악구 서원동(1162064500)",4.005403224391698
84,"서울특별시 관악구 성현동(1162056500)",5.295335333228076
85,"서울특별시 관악구 신림동(1162069500)",3.810325772327772
86,"서울특별시 관악구 신사동(1162068500)",3.978737961159939
87,"서울특별시 관악구 신원동(1162065500)",3.1947441362735294
88,"서울특별시 관악구 은천동(1162060500)",5.9556514569408625
89,"서울특별시 관악구 인헌동(1162062500)",4.586425275862674
90,"서울특별시 관악구 조원동(1162072500)",3.0444011718681474
91,"서울특별시 관악구 중앙동(1162061500)",2.6879287055067276
92,"서울특별시 관악구 청룡동(1162059500)",6.102836692805642
93,"서울특별시 관악구 청림동(1162054500)",2.723190007543463
94,"서울특별시 관악구 행운동(1162057500)",5.125168850762241
95,"서울특별시 광진구 광장동(1121581000)",6.214760626633686
96,"서울특별시 광진구 구의제1동(1121585000)",3.8406750521902353
97,"서울특별시 광진구 구의제2동(1121586000)",4.703612090591723
98,"서울특별시 광진구 구의제3동(1121587000)",5.1028893216146525
99,"서울특별시 광진구 군자동(1121573000)",3.455783028963388
100,"서울특별시 광진구 능동(1121578000)",1.9895444099433361
